ECNS system logs created 07/01/2012
2012-07-16 14:33:50 gandavaa.d logged in 
2012-07-16 14:37:07 gandavaa.d logged out 
2012-07-16 14:37:10 gandavaa.d logged in 
2012-07-17 08:40:20 gandavaa.d logged in 
2012-07-17 08:44:43 gandavaa.d logged out 
2012-07-17 08:44:46 gandavaa.d logged in 
2012-07-17 10:22:51 gandavaa.d logged out 
2012-07-17 10:22:59 sergelen logged in 
2012-07-17 10:24:16 sergelen logged out 
2012-07-17 10:24:19 gandavaa.d logged in 
2012-07-17 15:15:06 gandavaa.d logged in 
2012-07-18 08:23:58 gandavaa.d logged in 
2012-07-18 15:51:41 gandavaa.d logged in 
2012-07-18 15:58:44 gandavaa.d logged out 
2012-07-18 16:01:23  logged out 
2012-07-18 16:01:28  logged out 
2012-07-18 16:06:38  logged out 
2012-07-18 16:33:10 gandavaa.d logged in 
2012-07-18 16:33:56 gandavaa.d logged out 
2012-07-18 16:40:05 gandavaa.d logged in 
2012-07-19 08:42:02 gandavaa.d logged in 
2012-07-19 11:50:38 gandavaa.d logged out 
2012-07-19 11:52:22 gandavaa.d logged in 
2012-07-19 12:00:55 gandavaa.d logged in 
2012-07-19 12:07:46 gandavaa.d logged out 
2012-07-19 12:10:34 ans_admin logged in 
2012-07-19 12:10:37 ans_admin logged out 
2012-07-19 12:12:10 testee logged in 
2012-07-20 10:35:53 gandavaa.d logged in 
2012-07-20 10:36:02 gandavaa.d logged out 
2012-07-20 10:36:06 gandavaa.d logged in 
2012-07-20 10:36:27 gandavaa.d logged out 
2012-07-20 10:36:30 gandavaa.d logged in 
2012-07-20 10:36:38 gandavaa.d logged out 
2012-07-20 10:37:25 testee logged in 
2012-07-20 10:37:43 testee logged out 
2012-07-20 10:38:49 ezi logged in 
2012-07-20 15:01:42 gandavaa.d logged in 
2012-07-20 17:41:17 ezi logged out 
2012-07-20 17:54:35 gandavaa.d logged in 
2012-07-23 15:09:59 gandavaa.d logged in 
2012-07-24 08:19:14 gandavaa.d logged in 
2012-07-24 14:04:41 gandavaa.d logged in 
2012-07-24 14:34:12 gandavaa.d logged out 
2012-07-24 14:34:20 testee logged in 
2012-07-24 14:44:00 testee logged out 
2012-07-24 14:44:09 gandavaa.d logged in 
2012-07-24 14:44:18 gandavaa.d logged out 
2012-07-24 14:44:22 ezi logged in 
2012-07-24 14:55:41 ezi logged out 
2012-07-24 14:55:45 testee logged in 
2012-07-24 14:56:00 testee logged out 
2012-07-24 14:56:11 gandavaa.d logged in 
2012-07-24 14:56:20 gandavaa.d logged out 
2012-07-24 14:56:24 ezi logged in 
2012-07-24 15:33:11 ezi logged out 
2012-07-24 15:33:16 testee logged in 
2012-07-24 15:34:58 testee logged out 
2012-07-24 15:35:04 ezi logged in 
2012-07-24 15:36:06 ezi logged out 
2012-07-24 15:36:17 testee logged in 
2012-07-24 15:37:02 testee logged out 
2012-07-24 15:37:10 ezi logged in 
2012-07-25 09:00:51 gandavaa.d logged in 
2012-07-25 09:42:51 gandavaa.d logged out 
2012-07-25 09:42:56 testee logged in 
2012-07-25 09:43:33 testee logged out 
2012-07-25 09:43:42 ezi logged in 
2012-07-25 09:48:00 ezi logged out 
2012-07-25 09:48:04 testee logged in 
2012-07-25 09:48:29 testee logged out 
2012-07-25 09:48:36 ezi logged in 
2012-07-25 09:50:40 ezi logged out 
2012-07-25 09:50:47 testee logged in 
2012-07-25 09:51:33 testee logged out 
2012-07-25 09:51:47 ezi logged in 
2012-07-25 14:16:09 gandavaa.d logged in 
2012-07-26 08:27:47 gandavaa.d logged in 
2012-07-26 15:19:37 gandavaa.d logged in 
2012-07-26 15:19:42 gandavaa.d logged out 
2012-07-26 15:21:02 gandavaa.d logged in 
2012-07-27 08:55:06 gandavaa.d logged in 
2012-07-27 08:57:30 gandavaa.d logged out 
2012-07-27 09:18:46 gandavaa.d logged in 
2012-07-27 09:21:13 gandavaa.d logged out 
2012-07-27 09:25:53 gandavaa.d logged in 
2012-07-27 09:27:30 gandavaa.d logged out 
2012-07-27 09:27:34 testee logged in 
2012-07-27 09:38:39 testee logged out 
2012-07-27 09:52:33 gandavaa.d logged in 
2012-08-01 15:37:17 gandavaa.d logged in 
2012-08-02 10:44:55 gandavaa.d logged in 
2012-08-02 10:45:10 gandavaa.d logged out 
2012-08-02 10:45:16 testee logged in 
2012-08-02 10:45:24 testee logged out 
2012-08-02 10:45:26 gandavaa.d logged in 
2012-08-02 10:45:45 gandavaa.d logged out 
2012-08-02 10:45:50 testee logged in 
2012-08-02 10:46:07 testee logged out 
2012-08-02 10:46:10 gandavaa.d logged in 
2012-08-02 10:48:43 gandavaa.d logged out 
2012-08-02 10:48:49 testee logged in 
2012-08-02 10:49:08 testee logged out 
2012-08-02 10:49:15 gandavaa.d logged in 
2012-08-02 10:52:12 gandavaa.d logged out 
2012-08-02 10:52:17 testee logged in 
2012-08-02 10:52:45 testee logged out 
2012-08-02 10:52:47 gandavaa.d logged in 
2012-08-02 11:00:44 gandavaa.d logged out 
2012-08-02 11:00:48 testee logged in 
2012-08-02 11:01:11 testee logged out 
2012-08-02 11:01:14 gandavaa.d logged in 
2012-08-02 11:09:53 gandavaa.d logged out 
2012-08-02 11:10:14 gandavaa.d logged in 
2012-08-02 11:10:28 gandavaa.d logged out 
2012-08-02 11:10:32 testee logged in 
2012-08-02 11:10:45 testee logged out 
2012-08-02 11:10:47 gandavaa.d logged in 
2012-08-02 11:13:13 gandavaa.d logged out 
2012-08-02 11:13:16 test logged in 
2012-08-02 11:13:20 test logged out 
2012-08-02 11:13:25 testee logged in 
2012-08-02 11:13:42 testee logged out 
2012-08-02 11:13:44 gandavaa.d logged in 
2012-08-02 11:13:55 gandavaa.d logged out 
2012-08-02 11:14:01 testee logged in 
2012-08-02 11:14:20 testee logged out 
2012-08-02 11:14:28 testee logged in 
2012-08-02 11:14:37 testee logged out 
2012-08-02 11:14:41 gandavaa.d logged in 
2012-08-30 09:12:42 gandavaa.d logged in 
2012-08-30 09:23:56 gandavaa.d logged out 
2012-08-30 09:24:06 gandavaa.d logged in 
2012-08-30 09:24:35 gandavaa.d logged out 
2012-08-30 09:24:39 test2 logged in 
2012-08-30 09:44:07 test2 logged out 
2012-08-30 09:44:10 gandavaa.d logged in 
2012-08-30 10:10:31 gandavaa.d logged out 
2012-08-30 10:10:35 gandavaa.d logged in 
2012-08-30 12:40:00 gandavaa.d logged in 
2012-08-30 12:40:06 gandavaa.d logged in 
2012-08-30 12:40:09 gandavaa.d logged in 
2012-08-30 12:40:12 gandavaa.d logged in 
2012-08-30 12:40:15 gandavaa.d logged in 
2012-08-30 12:40:18 gandavaa.d logged in 
2012-08-30 12:40:21 gandavaa.d logged in 
2012-08-30 12:40:24 gandavaa.d logged in 
2012-08-30 12:40:26 gandavaa.d logged in 
2012-08-30 12:40:29 gandavaa.d logged in 
2012-08-30 12:40:32 gandavaa.d logged in 
2012-08-30 12:41:04 gandavaa.d logged in 
2012-08-30 12:48:58 gandavaa.d logged out 
2012-08-30 12:49:05 ans_admin logged in 
2012-08-30 13:08:56 ans_admin logged out 
2012-08-30 13:08:59 gandavaa.d logged in 
2012-08-30 13:29:00 gandavaa.d logged out 
2012-08-30 13:29:02 gandavaa.d logged in 
2012-08-30 13:36:24 gandavaa.d logged out 
2012-08-30 13:36:47 kuralai.sh logged in 
2012-08-30 13:56:13 kuralai.sh logged out 
2012-08-30 13:56:19 gandavaa.d logged in 
2012-08-30 13:56:59 gandavaa.d logged out 
2012-08-30 13:57:09 kuralai.sh logged in 
2012-08-30 13:59:38 kuralai.sh logged out 
2012-08-30 14:10:04 gandavaa.d logged in 
2012-08-30 14:13:06 gandavaa.d logged out 
2012-08-30 14:13:10 test2 logged in 
2012-08-30 14:14:16 test2 logged out 
2012-08-30 14:14:19 gandavaa.d logged in 
2012-08-30 14:14:55 gandavaa.d logged out 
2012-08-30 14:15:00 ezi logged in 
2012-08-30 14:15:57 ezi logged out 
2012-08-30 14:16:00 gandavaa.d logged in 
2012-08-30 14:16:16 gandavaa.d logged out 
2012-08-30 14:16:21 ezi logged in 
2012-08-30 14:16:26 ezi logged out 
2012-08-30 14:16:31 test2 logged in 
2012-08-30 14:16:52 test2 logged out 
2012-08-30 14:16:58 ezi logged in 
2012-08-30 14:35:22 ezi logged out 
2012-08-30 14:35:27 gandavaa.d logged in 
2012-08-30 15:56:20 gandavaa.d logged out 
2012-08-30 15:56:23 gandavaa.d logged in 
2012-08-30 16:27:33 gandavaa.d logged out 
2012-08-30 16:27:35 gandavaa.d logged in 
2012-08-30 16:27:38 gandavaa.d logged out 
2012-08-30 16:27:42 gandavaa.d logged in 
2012-08-30 16:27:46 gandavaa.d logged in 
2012-08-30 16:27:49 gandavaa.d logged in 
2012-08-30 16:27:52 gandavaa.d logged in 
2012-08-30 16:28:29 gandavaa.d logged out 
2012-08-30 16:38:54 gandavaa.d logged out 
2012-08-30 16:40:04 gandavaa.d logged out 
2012-08-30 16:40:27 gandavaa.d logged out 
2012-08-30 16:40:59 gandavaa.d logged out 
2012-08-30 16:41:01 gandavaa.d logged in 
2012-08-30 16:41:04 gandavaa.d logged out 
2012-08-30 16:41:07 gandavaa.d logged in 
2012-08-30 16:47:05 gandavaa.d logged out 
2012-08-30 16:47:08 gandavaa.d logged in 
2012-08-31 08:39:59 gandavaa.d logged in 
2012-08-31 10:11:45 gandavaa.d logged out 
2012-08-31 10:11:51 user logged in 
2012-08-31 14:10:17 gandavaa.d logged in 
2012-08-31 14:13:00 gandavaa.d logged out 
2012-08-31 14:13:26 gandavaa.d logged in 
2012-08-31 15:37:15 gandavaa.d logged out 
2012-08-31 15:37:17  logged out 
2012-08-31 15:38:00 gandavaa.d logged in 
2012-08-31 15:38:15 gandavaa.d logged out 
2012-08-31 15:40:35  logged out 
2012-08-31 15:41:25 gandavaa.d logged in 
2012-08-31 15:41:35 gandavaa.d logged out 
2012-08-31 15:41:39 gandavaa.d logged in 
2012-08-31 15:43:02 gandavaa.d logged out 
2012-08-31 15:43:16 gandavaa.d logged in 
2012-08-31 15:43:18 gandavaa.d logged out 
2012-08-31 15:43:21 gandavaa.d logged in 
2012-08-31 15:43:30 gandavaa.d logged out 
2012-08-31 15:44:36 gandavaa.d logged in 
